syuzai_name,baitai_name,kouyaku
ニャントロス,アツ姫,2台以上設置の2機種以上に設定56投入
ヴェルデクス レポート,アメスロ,全⑤⑥機種(３台以上)が２機種以上
オフミーガール,オフミー,来店実践
オフミーガール 初開催,オフミー,未調査
オフミー開催 BBオフ会,オフミー,未調査
パチミー初取材,オフミー,未調査
万パチミー 初開催,オフミー,未調査
漢オフミー開催,オフミー,"特に公約はなし、編集部取材よりは
　　　配分がいいのが特徴"
オフミー取材,オフミー,全台形が数カ所入りやすい
オフミー開催,オフミー,全４５６、全６など全台系の島が複数
パチミー初開催,オフミー,パチンコに注目
ウシオフミー取材 初開催,オフミー,ウシオ×オフミー初開催
ウシオフミー 初開催,オフミー,ウシオ×オフミーコラボ
GOTOオフミー 初開催,オフミー,未調査
パチミー取材,オフミー,未調査
番組収録 ジャンバリ,ジャンバリ,来店実践
《SHOOTING》バズーカ,ジャンバリ,未調査
JBメンバーズ・タレント来店,ジャンバリ,未調査
ジャンバリ広告,ジャンバリ,未調査
ジャンバリ魂,ジャンバリ,未調査
実戦来店 ジャンバリTV,ジャンバリ,未調査
《SHOOTING》スナイパーライフル,ジャンバリ,特定末尾番台に全④⑤⑥
収録 静香&マリアのななはん,ジャンバリ,特になし
JBメンバーズ来店,ジャンバリ,誰が来るかは不明
パチンコ&スロット全機種調査団,ジャンバリ,全機種全台対象(公約無し)
スサノオ,ジャンバリ,"スロ全体10％以上に設定456投入
　　　+3台以上1機種以上に全台設定456"
アマテラス,ジャンバリ,"スロット設置台数の10%が
　　　設定4以上"
GOGOスロット,ジャンバリ,ジャグラーが狙い目(公約なし)
収録 ガリのり,ジャンバリ,ジャグラーが狙い目
Aプロジェクト,ジャンバリ,Aタイプコーナー対象
ゴールデン インフィニティー,ジャンバリ,"6号機の各機種(3台以上設置)
　　　に1台以上設定④⑤⑥を投入"
《SHOOTING》マシンガン,ジャンバリ,5台以上の機種に全56を投入
《SHOOTING》Wバズーカ,ジャンバリ,"4台以上設置機種に全⑤⑥を
　　　2機種以上投入"
スタレポ,ジャンバリ,"4台以上設置機種に
　　　　全台設定6が複数投入"
スタレポNEO,ジャンバリ,"3台設置以上の機種1機種以上に
　　　全台設定⑥投入"
メガオロチ,ジャンバリ,"3台以上設置機種の2機種
　　　が全台設定5以上"
ギガオロチ,ジャンバリ,3台以上設置3機種以上に全台設定56
寺やる!,スクープTV,来店実践
真・執念取材,スクープTV,不明　教えてください
裏頂天,スクープTV,番長シリーズに設定5を1/5以上
カチ盛りターゲット,スクープTV,"対象機種に設定6を1台以上投入
　　　※対象機種は要HP確認"
俺のスロット,スクープTV,"対象機種（最大で5機種）の
　　　1/3以上に設定456を投入"
打ちごろ!,スクープTV,全体の10%以上が設定⑤⑥
フルスピン,スクープTV,"全⑥を1機種以上投入
　　　対象は3台以上設置の機種"
BASH COMBO,スクープTV,前日高設定の据置き
BURST,スクープTV,設定⑤⑥が5台並び 設置2箇所以上
THE K1NG of スクープ!,スクープTV,赤字営業
Dokiレポ,スクープTV,沖ドキシリーズが狙い目
百機良乱,スクープTV,バラエティー設定456を1/3以上投入
俺のパチンコ,スクープTV,パチンコ特定機種(HP参照)
ドカ積みドリーム,スクープTV,パチンコ取材
弦朧ノ契,スクープTV,バジシリーズに設定456を1/3以上
ジャグレポ,スクープTV,ジャグラーシリーズが狙い目
ダイナマイトスロット,スクープTV,HPに対象機種があるので要確認
カチ盛りドリーム,スクープTV,"3台以上設置機種に
　　　全台設定6を1機種以上"
カチ盛りドリーム 初開催,スクープTV,"3台以上設置機種に
　　　全台設定6を1機種以上"
エニグマ,スクープTV,3台以上の2機種以上が設定⑤⑥
